store_id,store_name,region,country,city,opening_date
STORE0001,Hall Ltd Store,North America,USA,West Janetberg,2024-11-20
STORE0002,Baker-Miller Store,North America,Canada,East Savannahfurt,2020-03-10
STORE0003,Morris Group Store,Asia,India,Butlershire,2021-01-13
STORE0004,Patel and Sons Store,Asia,India,South Zachary,2016-09-25
STORE0005,"Hernandez, Miles and Gonzalez Store",Europe,UK,Lake Mitchellshire,2023-07-14
STORE0006,Gibson Inc Store,North America,USA,Port Troytown,2018-04-29
STORE0007,Andersen Group Store,Asia,India,Butlerside,2018-02-23
STORE0008,Bolton LLC Store,North America,Canada,East Malloryland,2019-05-15
STORE0009,"Gomez, Roberts and Armstrong Store",North America,USA,New Joshuafurt,2020-12-13
STORE0010,"Woods, Scott and Morales Store",Asia,India,Ramirezland,2023-12-10
STORE0011,Holmes-Weeks Store,Oceania,Australia,West Antonio,2021-07-08
STORE0012,Johnson Inc Store,Europe,UK,Greenmouth,2017-07-22
STORE0013,Baker Group Store,Oceania,Australia,Christinafort,2018-05-30
STORE0014,Lawson-Jones Store,Oceania,Australia,Sharpbury,2020-05-06
STORE0015,Thomas Ltd Store,Oceania,Australia,East Christopherbury,2019-06-22
STORE0016,"Frederick, Medina and Avila Store",Oceania,Australia,Port Jessicashire,2022-09-08
STORE0017,"Hudson, Watson and Benson Store",North America,Canada,Prestonborough,2023-07-15
STORE0018,Jackson and Sons Store,Europe,UK,Kristyview,2023-08-01
STORE0019,Craig-Torres Store,Oceania,Australia,Dwaynetown,2016-09-28
STORE0020,Garrison Inc Store,North America,USA,Olsonmouth,2017-12-13
STORE0021,Johnson Ltd Store,North America,Canada,Port Luisborough,2019-06-24
STORE0022,Carter-Griffin Store,Asia,India,North Jeffrey,2015-12-30
STORE0023,Schneider-Walters Store,Asia,India,New Anthonymouth,2017-05-21
STORE0024,Soto Ltd Store,North America,USA,West Patriciaborough,2024-02-24
STORE0025,"Oliver, Lucas and Anderson Store",Asia,India,Bradleyborough,2016-05-21
STORE0026,"Reed, Warner and Dunn Store",North America,Canada,Beardfort,2018-11-16
STORE0027,Wilson-Park Store,Europe,Germany,Kathyville,2022-12-19
STORE0028,"Gonzalez, Kelley and Johnson Store",Asia,India,Scotttown,2016-05-11
STORE0029,"Wood, Lane and Vargas Store",Oceania,Australia,East Jesse,2019-01-01
STORE0030,"Johnson, Mcpherson and Ellis Store",North America,USA,Schroederburgh,2020-11-12
STORE0031,Smith PLC Store,Asia,India,Sheilabury,2018-09-11
STORE0032,Nelson and Sons Store,North America,Canada,Washingtonville,2019-08-16
STORE0033,"Morales, Singh and Davis Store",Oceania,Australia,Maryville,2017-04-20
STORE0034,Johnson and Sons Store,North America,Canada,Port Sophiashire,2023-03-14
STORE0035,Moore-Montgomery Store,Asia,India,Romanmouth,2017-08-16
STORE0036,Heath-Smith Store,North America,Canada,Port Kevinstad,2016-05-16
STORE0037,Hoffman PLC Store,Oceania,Australia,Ninaview,2016-10-13
STORE0038,"Leon, Scott and Wells Store",North America,USA,West Rebecca,2018-05-09
STORE0039,Barrera Ltd Store,Europe,UK,Wendystad,2024-08-27
STORE0040,Carter-Johnston Store,Europe,Germany,Robertshaven,2020-08-04
STORE0041,Taylor-Smith Store,Oceania,Australia,Johntown,2017-07-08
STORE0042,"Yang, Cunningham and Oliver Store",Europe,UK,Rosalesbury,2023-08-06
STORE0043,"Freeman, Newman and Huerta Store",Asia,India,South Melissa,2019-03-25
STORE0044,Morales-Freeman Store,Oceania,Australia,South Jacquelinefort,2021-08-19
STORE0045,Henderson-Johnson Store,Asia,India,Michealmouth,2019-09-20
STORE0046,Hall LLC Store,Asia,India,Allenland,2023-08-13
STORE0047,Mcdonald-Gallegos Store,Asia,India,Bellville,2024-06-08
STORE0048,Tucker LLC Store,Asia,India,Elizabethbury,2022-11-24
STORE0049,Mcclain-Baird Store,Oceania,Australia,Walkertown,2023-05-27
STORE0050,"Chambers, Ibarra and Parker Store",North America,Canada,South Philipbury,2021-01-25
STORE0051,Wilson-Dalton Store,Europe,Germany,North John,2017-11-28
STORE0052,"Johnson, Riddle and Sutton Store",Europe,UK,Taraport,2023-07-04
STORE0053,Odom Group Store,Oceania,Australia,North Renee,2016-03-12
STORE0054,Castillo-Walter Store,Asia,India,New Daleside,2022-01-11
STORE0055,Parks-Salinas Store,North America,USA,North Melissabury,2021-08-22
STORE0056,Harris-Davis Store,Europe,Germany,South Lisa,2024-10-14
STORE0057,Drake-Schmidt Store,Asia,India,South Susan,2016-08-29
STORE0058,Russell-Zimmerman Store,Asia,India,Sethton,2024-07-11
STORE0059,Walker-Calhoun Store,North America,Canada,Nicolebury,2016-01-30
STORE0060,"Frank, Glenn and Clark Store",Europe,UK,Michaelfort,2016-06-15
STORE0061,Taylor Inc Store,Europe,Germany,Christopherton,2023-12-17
STORE0062,Henderson PLC Store,Europe,UK,Anthonyside,2020-03-23
STORE0063,Turner Group Store,Asia,India,North Tricialand,2018-11-04
STORE0064,Allen-Silva Store,North America,Canada,New Cassandra,2019-12-21
STORE0065,Nixon and Sons Store,Europe,Germany,North Christina,2022-07-03
STORE0066,Douglas PLC Store,North America,Canada,Port Brittany,2021-07-22
STORE0067,"Holt, Simmons and Stuart Store",Asia,India,Lake Kimberly,2016-10-23
STORE0068,Lee Group Store,Oceania,Australia,Colefort,2024-09-12
STORE0069,Schultz-Hill Store,Oceania,Australia,West Andrewmouth,2018-08-30
STORE0070,Smith Inc Store,Asia,India,North Frederickbury,2022-01-18
STORE0071,Good PLC Store,North America,Canada,Davidview,2024-06-03
STORE0072,Meyer Inc Store,Europe,Germany,Bennettport,2018-05-16
STORE0073,Gonzalez Group Store,Oceania,Australia,West Nancyhaven,2021-06-15
STORE0074,Benitez-Mann Store,North America,Canada,Courtneytown,2023-03-14
STORE0075,Henson Inc Store,Europe,UK,Amytown,2022-01-05
STORE0076,Booker-Garcia Store,Europe,Germany,Melissamouth,2018-01-04
STORE0077,"Day, Guzman and Aguirre Store",Oceania,Australia,Lake Sueton,2019-04-13
STORE0078,"Bolton, Holmes and Evans Store",Asia,India,South Andrew,2019-05-06
STORE0079,Freeman Ltd Store,Europe,UK,North Kennethchester,2022-05-12
STORE0080,"Calhoun, Anderson and Ramirez Store",Asia,India,Simonborough,2018-11-03
STORE0081,"Best, Robinson and Torres Store",Asia,India,West Vanessaland,2022-12-19
STORE0082,Byrd PLC Store,Europe,UK,Port Anne,2016-04-26
STORE0083,Shields PLC Store,Asia,India,Leeton,2016-10-19
STORE0084,"Lawson, Goodwin and Garcia Store",Asia,India,Parkerton,2016-04-02
STORE0085,Clayton-Carey Store,North America,USA,Lake Davidborough,2023-09-09
STORE0086,Harris Group Store,Europe,UK,Nicoleberg,2023-06-08
STORE0087,Massey Ltd Store,North America,USA,Hallside,2023-04-24
STORE0088,Knight PLC Store,Europe,Germany,Port Williamfort,2018-08-26
STORE0089,Torres-Richards Store,North America,USA,Solisside,2021-12-08
STORE0090,Ritter-Anderson Store,North America,Canada,South Ryan,2016-07-15
STORE0091,"Hernandez, Weaver and Marquez Store",Europe,UK,East Andreafort,2021-08-26
STORE0092,"Smith, Moore and Bean Store",Asia,India,New Barry,2021-09-07
STORE0093,Powell and Sons Store,North America,USA,East Janet,2022-04-27
STORE0094,"Kennedy, Hale and Turner Store",Oceania,Australia,South Matthewhaven,2023-02-05
STORE0095,Cook-Smith Store,Oceania,Australia,North Scottberg,2021-08-07
