product_id,product_name,category,sub_category,brand,cost_price,list_price,active_flag
P1000,Perferendis Mobile,Electronics,Mobile Phones,"Toor, Badami and Dewan",1104,5850,TRUE
P1001,Dignissimos Women,Fashion,Women Clothing,Basu-Srivastava,14958,15566,TRUE
P1002,Veniam Household,Grocery,Household,Borra-D’Alia,17925,21479,TRUE
P1003,Qui Furniture,Home & Kitchen,Furniture,"Subramaniam, Manda and Kale",1209,1494,TRUE
P1004,Ex Women,Fashion,Women Clothing,Doshi Inc,3225,6831,TRUE
P1005,Eius Women,Fashion,Women Clothing,Dhillon-Choudhry,19184.399999999998,15987,TRUE
P1006,Tempore Women,Fashion,Women Clothing,"Sur, Lad and Aurora",15078,17945,TRUE
P1007,Provident Men,Fashion,Men Clothing,Bahri Ltd,15528,15969,TRUE
P1008,Pariatur Beverages,Grocery,Beverages,"Rout, Vasa and Mane",9185,11489,TRUE
P1009,Velit Decor,Home & Kitchen,Decor,Chand Ltd,18980.399999999998,15817,TRUE
P1010,Suscipit Men,Fashion,Men Clothing,Sha-Gole,5443,8826,TRUE
P1011,Sit Beverages,Grocery,Beverages,"Devan, Sengupta and Khalsa",1804,6770,TRUE
P1012,Illum Appliances,Home & Kitchen,Appliances,Bal Inc,29898,20263,TRUE
P1013,Modi Laptops,Electronics,Laptops,Bobal-Butala,14234,18762,TRUE
P1014,Est Laptops,Electronics,Laptops,"Lanka, Gola and Vala",4895,6858,TRUE
P1015,Soluta Household,Grocery,Household,"Kaul, Kapadia and Sandal",16451,19492,TRUE
P1016,Velit Women,Fashion,Women Clothing,Zachariah-Gaba,7838,11602,TRUE
P1017,Necessitatibus Accessories,Electronics,Accessories,Chander PLC,14716,16288,TRUE
P1018,Cumque Furniture,Home & Kitchen,Furniture,Kar-Andra,12893,14106,TRUE
P1019,Doloribus Men,Fashion,Men Clothing,Jani-Barad,10357,11005,TRUE
P1020,In Footwear,Fashion,Footwear,Master PLC,7713,10169,TRUE
P1021,Est Household,Grocery,Household,"Dutta, Chakrabarti and Sagar",10843,11470,TRUE
P1022,Earum Decor,Home & Kitchen,Decor,Sastry-Sathe,12122,14533,TRUE
P1023,Dolore Accessories,Electronics,Accessories,Chander-Arya,7374,11148,TRUE
P1024,Vero Footwear,Fashion,Footwear,Swaminathan Inc,14737,15591,TRUE
P1025,Voluptatem Accessories,Electronics,Accessories,"Kothari, Krishnan and Saraf",7274,8362,TRUE
P1026,Minima Beverages,Grocery,Beverages,"Srinivasan, Manne and Dubey",2659,5942,TRUE
P1027,Dolores Laptops,Electronics,Laptops,Varghese Ltd,4552,5053,TRUE
P1028,Voluptates Furniture,Home & Kitchen,Furniture,"Uppal, Choudhary and Dugar",4158,7958,TRUE
P1029,Quos Mobile,Electronics,Mobile Phones,Dixit-Korpal,17820,21239,TRUE
P1030,Possimus Decor,Home & Kitchen,Decor,Sen Ltd,7641,11890,TRUE
P1031,Fuga Accessories,Electronics,Accessories,"Shere, Bobal and Madan",3344,6951,TRUE
P1032,Quidem Laptops,Electronics,Laptops,Singh-Som,1085,2864,TRUE
P1033,Commodi Women,Fashion,Women Clothing,Dubey-Madan,13687,16111,TRUE
P1034,Hic Furniture,Home & Kitchen,Furniture,"Sule, Kadakia and Reddy",6235,9778,TRUE
P1035,Natus Accessories,Electronics,Accessories,"Cherian, Apte and Comar",17004,21802,TRUE
P1036,Maiores Food,Grocery,Food,"Dara, Sahni and Sane",10110,11836,TRUE
P1037,Blanditiis Footwear,Fashion,Footwear,Chowdhury-Sethi,14575,17516,TRUE
P1038,Voluptates Decor,Home & Kitchen,Decor,Varughese LLC,19601,22462,TRUE
P1039,Facilis Appliances,Home & Kitchen,Appliances,Lalla PLC,2723,3162,TRUE
P1040,Facere Women,Fashion,Women Clothing,Vora and Sons,1309,4205,TRUE
P1041,Unde Mobile,Electronics,Mobile Phones,Borde-Sharaf,11535,15445,TRUE
P1042,Illo Women,Fashion,Women Clothing,Madan Group,18942,20007,TRUE
P1043,Error Beverages,Grocery,Beverages,"Dara, Saxena and Khalsa",8740,10110,TRUE
P1044,Repellat Furniture,Home & Kitchen,Furniture,"Sengupta, Sachdeva and Bhasin",7020,11357,TRUE
P1045,Excepturi Laptops,Electronics,Laptops,"Basu, Lall and Bora",16909,18465,TRUE
P1046,Inventore Women,Fashion,Women Clothing,Bahl Ltd,8466,11020,TRUE
P1047,Quaerat Appliances,Home & Kitchen,Appliances,"Chokshi, Kapoor and Viswanathan",1821,6278,TRUE
P1048,Doloribus Women,Fashion,Women Clothing,Luthra LLC,14396,16836,TRUE
P1049,Adipisci Laptops,Electronics,Laptops,Cheema-Borah,4235,4384,TRUE
P1050,Culpa Decor,Home & Kitchen,Decor,"Gara, Lalla and Gokhale",11259,11986,TRUE
P1051,Cum Household,Grocery,Household,"Srivastava, Bhatti and Sarna",12938,16446,TRUE
P1052,Aut Accessories,Electronics,Accessories,Sastry-Bhandari,8855,13741,TRUE
P1053,Aperiam Women,Fashion,Women Clothing,Goda PLC,2148,3129,TRUE
P1054,Rerum Beverages,Grocery,Beverages,Lall PLC,16878,17956,TRUE
P1055,Ad Furniture,Home & Kitchen,Furniture,Joshi-Dyal,17253,21841,TRUE
P1056,Quia Beverages,Grocery,Beverages,Bhakta-Vaidya,15674,17229,TRUE
P1057,Quaerat Household,Grocery,Household,Sachdev-Golla,11465,12244,TRUE
P1058,Blanditiis Beverages,Grocery,Beverages,"Ramakrishnan, Rattan and Dhillon",12012,16157,TRUE
P1059,Sapiente Beverages,Grocery,Beverages,Bhakta Ltd,6675,10909,TRUE
P1060,Harum Mobile,Electronics,Mobile Phones,Bera LLC,9365,10490,TRUE
P1061,Esse Furniture,Home & Kitchen,Furniture,Sunder-Savant,17806,22570,TRUE
P1062,Aspernatur Furniture,Home & Kitchen,Furniture,Bora PLC,13409,17006,TRUE
P1063,Possimus Laptops,Electronics,Laptops,"Vohra, Kapadia and Lall",13599,17739,TRUE
P1064,Eius Appliances,Home & Kitchen,Appliances,"Kari, Cheema and Trivedi",8476,13395,TRUE
P1065,Suscipit Food,Grocery,Food,Chaudhry-Dash,2881,3007,TRUE
P1066,Quo Accessories,Electronics,Accessories,Joshi Ltd,14569,17713,TRUE
P1067,Fugit Women,Fashion,Women Clothing,"Kara, Bhattacharyya and Sathe",15138,18554,TRUE
P1068,Doloribus Mobile,Electronics,Mobile Phones,Balan-Venkataraman,7492,11524,TRUE
P1069,Molestias Food,Grocery,Food,Mani Inc,9919,10947,TRUE
P1070,Consequatur Beverages,Grocery,Beverages,Bala-Guha,1473,3836,TRUE
P1071,Amet Food,Grocery,Food,Dar Ltd,3154,5086,FALSE
P1072,Suscipit Decor,Home & Kitchen,Decor,Khanna PLC,7551,11213,TRUE
P1073,Est Decor,Home & Kitchen,Decor,"Chokshi, Varghese and Cheema",5003,5249,TRUE
P1074,Reiciendis Footwear,Fashion,Footwear,Dave-Sood,3949,5321,TRUE
P1075,Dolores Beverages,Grocery,Beverages,Khatri and Sons,15760,19286,TRUE
P1076,Rem Household,Grocery,Household,Walla LLC,14049,16951,TRUE
P1077,Ipsa Mobile,Electronics,Mobile Phones,"Doctor, Badal and Dalal",5488,5894,TRUE
P1078,Nobis Appliances,Home & Kitchen,Appliances,"Deep, Wali and Sant",19171,23389,TRUE
P1079,Labore Food,Grocery,Food,Dugar-Barad,5839,9159,TRUE
P1080,Voluptas Mobile,Electronics,Mobile Phones,"Bobal, Subramanian and Bhavsar",545,5303,TRUE
P1081,Quam Food,Grocery,Food,"Kumer, Guha and Kapadia",8284,11888,TRUE
P1082,Placeat Mobile,Electronics,Mobile Phones,Gaba PLC,6418,8487,TRUE
P1083,Cum Mobile,Electronics,Mobile Phones,Dayal-Mann,3905,7188,TRUE
P1084,Porro Decor,Home & Kitchen,Decor,Reddy Inc,14764,18967,TRUE
