return_id,order_id,product_id,return_date,return_reason,refund_amount
R9000,O103443,P1247,2025-07-13,Customer Dissatisfied,31372
R9001,O104834,P1286,2025-04-10,Wrong Item,1267
R9002,O105138,P1027,2024-12-02,Damaged,20212
R9003,O101496,P1177,2024-09-06,Wrong Item,4568
R9004,O101774,P1275,2024-08-11,Damaged,44044
R9005,O109242,P1265,2025-11-26,Wrong Item,47968
R9006,O107301,P1087,2025-04-12,Wrong Item,20248
R9007,O109048,P1141,2025-03-11,Customer Dissatisfied,16821
R9008,O100466,P1162,2024-09-18,Damaged,8893
R9009,O106771,P1241,2024-12-23,Wrong Item,97335
R9010,O100732,P1127,2025-10-13,Damaged,11658
R9011,O108423,P1009,2025-06-06,Customer Dissatisfied,63268
R9012,O107864,P1259,2025-04-19,Customer Dissatisfied,27994
R9013,O109202,P1079,2025-03-12,Wrong Item,27477
R9014,O105029,P1173,2024-01-13,Wrong Item,36980
R9015,O106369,P1052,2025-02-11,Damaged,27482
R9016,O108141,P1274,2025-04-08,Customer Dissatisfied,62184
R9017,O109042,P1008,2025-10-08,Wrong Item,22978
R9018,O108459,P1183,2025-08-03,Customer Dissatisfied,9417
R9019,O102559,P1211,2025-08-12,Customer Dissatisfied,52656
R9020,O105963,P1015,2024-03-31,Wrong Item,38984
R9021,O104103,P1298,2025-07-31,Damaged,28352
R9022,O104735,P1163,2024-12-27,Wrong Item,35772
R9023,O108129,P1186,2025-12-13,Wrong Item,74915
R9024,O102128,P1174,2024-11-17,Damaged,106735
R9025,O107244,P1196,2025-07-30,Customer Dissatisfied,68460
R9026,O105716,P1053,2024-07-19,Wrong Item,3129
R9027,O105664,P1230,2025-01-06,Wrong Item,48300
R9028,O106563,P1292,2025-02-11,Wrong Item,46428
R9029,O103254,P1128,2025-06-11,Customer Dissatisfied,30234
R9030,O103008,P1114,2025-11-18,Damaged,75570
R9031,O103170,P1120,2025-07-06,Customer Dissatisfied,20523
R9032,O107072,P1019,2024-02-23,Damaged,55025
R9033,O109646,P1244,2025-09-25,Customer Dissatisfied,17319
R9034,O107012,P1044,2025-05-24,Wrong Item,11357
R9035,O101193,P1079,2024-05-12,Customer Dissatisfied,45795
R9036,O103335,P1180,2024-08-13,Customer Dissatisfied,20388
R9037,O107409,P1142,2024-10-11,Wrong Item,44044
R9038,O104090,P1185,2024-03-18,Damaged,38140
R9039,O109532,P1091,2024-02-08,Damaged,38352
R9040,O109345,P1043,2024-01-08,Customer Dissatisfied,50550
R9041,O102756,P1066,2024-06-16,Wrong Item,88565
R9042,O105301,P1130,2025-01-20,Damaged,37576
R9043,O107148,P1014,2025-08-15,Wrong Item,20574
R9044,O104413,P1159,2025-07-25,Wrong Item,18152
R9045,O107145,P1001,2025-11-30,Customer Dissatisfied,77830
R9046,O104278,P1225,2024-12-16,Customer Dissatisfied,29220
R9047,O102889,P1255,2024-01-24,Wrong Item,74255
R9048,O103807,P1240,2024-02-20,Damaged,45630
R9049,O100613,P1253,2024-07-08,Wrong Item,61815
R9050,O109001,P1131,2024-03-28,Wrong Item,20406
R9051,O107761,P1262,2025-11-24,Wrong Item,34434
R9052,O102905,P1010,2024-02-06,Damaged,35304
R9053,O103820,P1021,2025-12-19,Damaged,22940
R9054,O108395,P1262,2024-11-22,Damaged,45912
R9055,O103913,P1056,2024-06-24,Customer Dissatisfied,68916
R9056,O104605,P1208,2024-07-24,Customer Dissatisfied,22530
R9057,O100067,P1006,2024-12-17,Customer Dissatisfied,71780
R9058,O107604,P1001,2025-12-18,Damaged,46698
R9059,O103483,P1027,2025-07-21,Wrong Item,25265
R9060,O103785,P1008,2025-03-27,Customer Dissatisfied,57445
R9061,O109335,P1096,2024-06-04,Customer Dissatisfied,50853
R9062,O103291,P1279,2025-07-05,Wrong Item,23596
R9063,O104076,P1006,2025-09-12,Damaged,35890
R9064,O104739,P1090,2025-06-12,Damaged,6496
R9065,O101112,P1255,2025-07-19,Damaged,44553
R9066,O103873,P1195,2025-06-26,Damaged,2809
R9067,O105709,P1167,2025-06-11,Damaged,43062
R9068,O109372,P1164,2024-07-22,Damaged,23100
R9069,O106100,P1276,2024-04-02,Wrong Item,53076
R9070,O102112,P1295,2025-11-14,Customer Dissatisfied,16685
R9071,O100630,P1064,2025-11-13,Wrong Item,66975
R9072,O107639,P1146,2024-01-21,Wrong Item,26606
R9073,O107387,P1187,2024-02-27,Wrong Item,54375
R9074,O102395,P1035,2024-11-26,Damaged,109010
R9075,O106459,P1124,2024-10-13,Damaged,74772
R9076,O103899,P1017,2025-06-24,Customer Dissatisfied,16288
R9077,O101012,P1022,2025-04-10,Customer Dissatisfied,58132
R9078,O103905,P1216,2025-01-21,Damaged,79968
R9079,O108225,P1084,2025-12-07,Customer Dissatisfied,75868
R9080,O109838,P1268,2025-09-27,Damaged,17310
R9081,O109678,P1241,2024-06-20,Wrong Item,58401
R9082,O106793,P1220,2024-02-11,Wrong Item,46452
R9083,O105351,P1089,2024-06-15,Damaged,18424
R9084,O103102,P1009,2025-03-09,Customer Dissatisfied,63268
R9085,O100255,P1294,2025-09-13,Wrong Item,32728
R9086,O105605,P1269,2025-02-07,Wrong Item,23420
R9087,O103792,P1172,2024-12-07,Damaged,63424
R9088,O104690,P1250,2024-11-06,Wrong Item,18984
R9089,O102286,P1056,2024-07-07,Wrong Item,86145
R9090,O106155,P1226,2025-02-05,Wrong Item,76896
R9091,O102421,P1066,2025-09-13,Customer Dissatisfied,35426
R9092,O102673,P1297,2024-02-04,Damaged,101535
R9093,O102502,P1129,2025-08-04,Customer Dissatisfied,22356
R9094,O109545,P1184,2025-05-02,Damaged,23546
R9095,O101109,P1071,2024-12-09,Damaged,20344
R9096,O106218,P1248,2025-11-11,Wrong Item,40440
R9097,O101753,P1240,2024-03-02,Damaged,36504
R9098,O109409,P1178,2025-06-02,Wrong Item,34540
R9099,O100509,P1226,2024-04-29,Customer Dissatisfied,38448
R9100,O103528,P1236,2025-02-24,Wrong Item,4950
R9101,O105502,P1227,2024-05-15,Damaged,26910
R9102,O108267,P1177,2025-05-12,Wrong Item,9136
R9103,O107213,P1258,2025-08-14,Customer Dissatisfied,43560
R9104,O106703,P1062,2025-10-22,Wrong Item,17006
R9105,O103692,P1011,2025-04-14,Wrong Item,20310
R9106,O105001,P1239,2025-05-04,Wrong Item,102170
R9107,O100192,P1186,2024-12-16,Customer Dissatisfied,29966
R9108,O102302,P1015,2024-12-29,Wrong Item,38984
R9109,O100953,P1157,2025-03-24,Wrong Item,40938
R9110,O100885,P1160,2025-12-15,Customer Dissatisfied,85100
R9111,O107903,P1153,2025-05-10,Damaged,56044
R9112,O104613,P1023,2025-05-06,Wrong Item,44592
R9113,O109166,P1188,2025-11-06,Customer Dissatisfied,45984
R9114,O104908,P1030,2025-09-29,Customer Dissatisfied,11890
R9115,O104813,P1172,2024-10-18,Damaged,79280
R9116,O100092,P1126,2025-07-06,Wrong Item,13666
R9117,O106789,P1195,2024-07-11,Wrong Item,8427
R9118,O107065,P1042,2025-04-14,Damaged,80028
R9119,O108018,P1245,2024-04-26,Damaged,16865
R9120,O107073,P1273,2024-04-21,Wrong Item,52830
R9121,O102864,P1049,2024-01-22,Customer Dissatisfied,4384
R9122,O109411,P1041,2024-07-25,Wrong Item,46335
R9123,O103623,P1152,2025-04-14,Customer Dissatisfied,35211
R9124,O108984,P1187,2025-01-24,Wrong Item,32625
R9125,O100354,P1266,2025-11-22,Wrong Item,15728
R9126,O101028,P1270,2024-02-14,Damaged,59499
R9127,O107086,P1190,2024-08-20,Damaged,45298
R9128,O102513,P1198,2025-08-29,Customer Dissatisfied,4170
R9129,O101267,P1296,2024-06-15,Wrong Item,52980
R9130,O109624,P1104,2025-10-31,Wrong Item,56223
R9131,O108315,P1199,2025-04-07,Wrong Item,87945
R9132,O109730,P1022,2025-02-07,Wrong Item,58132
R9133,O106125,P1183,2025-04-01,Wrong Item,15695
R9134,O109220,P1205,2024-09-03,Customer Dissatisfied,3522
R9135,O103173,P1006,2025-07-09,Damaged,89725
R9136,O102862,P1208,2025-11-06,Wrong Item,33795
R9137,O108339,P1232,2024-04-03,Customer Dissatisfied,12972
R9138,O108113,P1068,2024-11-30,Wrong Item,57620
R9139,O108292,P1053,2025-08-25,Customer Dissatisfied,15645
R9140,O107657,P1005,2025-10-02,Wrong Item,31974
R9141,O107068,P1083,2025-03-03,Damaged,14376
R9142,O109607,P1138,2025-03-20,Wrong Item,44595
R9143,O109424,P1252,2024-05-07,Wrong Item,17202
R9144,O105384,P1021,2025-07-12,Customer Dissatisfied,11470
R9145,O105164,P1013,2024-09-21,Wrong Item,93810
R9146,O100046,P1182,2024-07-08,Damaged,93080
R9147,O106969,P1051,2025-08-11,Wrong Item,32892
R9148,O103293,P1064,2025-10-15,Wrong Item,13395
R9149,O108754,P1228,2024-05-30,Customer Dissatisfied,53368
R9150,O104251,P1037,2025-10-28,Damaged,35032
R9151,O108001,P1137,2024-12-19,Damaged,8938
R9152,O107995,P1030,2025-09-15,Customer Dissatisfied,11890
R9153,O105030,P1021,2024-03-19,Damaged,22940
R9154,O101125,P1249,2024-03-22,Customer Dissatisfied,51435
R9155,O103311,P1021,2025-01-25,Wrong Item,34410
R9156,O104980,P1193,2024-05-08,Damaged,54183
R9157,O102188,P1037,2025-12-11,Customer Dissatisfied,17516
R9158,O104122,P1153,2024-10-28,Wrong Item,28022
R9159,O101665,P1122,2024-10-02,Customer Dissatisfied,9858
R9160,O101293,P1270,2024-12-06,Wrong Item,59499
R9161,O103855,P1030,2025-04-10,Customer Dissatisfied,35670
R9162,O100926,P1068,2024-06-27,Damaged,57620
R9163,O105449,P1243,2025-11-27,Damaged,106125
R9164,O109529,P1190,2025-07-26,Wrong Item,22649
R9165,O104165,P1222,2025-02-03,Wrong Item,75270
R9166,O101685,P1222,2025-04-30,Customer Dissatisfied,30108
R9167,O102523,P1212,2025-10-15,Customer Dissatisfied,21743
R9168,O103015,P1173,2024-12-11,Customer Dissatisfied,7396
R9169,O104776,P1074,2025-03-23,Customer Dissatisfied,26605
R9170,O106235,P1063,2024-07-15,Damaged,70956
R9171,O100291,P1284,2025-09-06,Wrong Item,26554
R9172,O105418,P1017,2025-05-23,Customer Dissatisfied,32576
R9173,O107736,P1096,2024-07-28,Damaged,50853
R9174,O109280,P1048,2025-06-03,Wrong Item,33672
R9175,O104028,P1150,2025-04-16,Customer Dissatisfied,22266
R9176,O106575,P1265,2024-04-29,Wrong Item,11992
R9177,O106988,P1089,2024-08-16,Customer Dissatisfied,18424
R9178,O108348,P1003,2024-03-08,Damaged,5976
R9179,O102959,P1019,2024-03-07,Damaged,33015
R9180,O103864,P1245,2025-06-13,Wrong Item,6746
R9181,O101053,P1103,2024-11-22,Damaged,78756
R9182,O105524,P1229,2024-08-28,Damaged,115345
R9183,O100205,P1163,2024-06-28,Wrong Item,35772
R9184,O102736,P1167,2024-06-14,Wrong Item,71770
R9185,O101484,P1083,2025-12-22,Customer Dissatisfied,14376
R9186,O100052,P1017,2024-07-07,Damaged,16288
R9187,O108735,P1278,2025-01-19,Wrong Item,95065
R9188,O102363,P1044,2024-09-12,Customer Dissatisfied,22714
R9189,O102796,P1103,2025-09-02,Customer Dissatisfied,98445
R9190,O105685,P1021,2024-12-16,Customer Dissatisfied,11470
R9191,O106715,P1251,2025-06-05,Damaged,8279
R9192,O103241,P1207,2024-02-06,Customer Dissatisfied,89395
R9193,O102347,P1185,2024-06-29,Damaged,38140
R9194,O107347,P1077,2025-11-20,Damaged,17682
R9195,O108742,P1134,2024-03-17,Damaged,17272
R9196,O104198,P1136,2024-03-20,Customer Dissatisfied,9813
R9197,O103817,P1074,2025-05-28,Customer Dissatisfied,10642
R9198,O105229,P1005,2024-03-24,Wrong Item,15987
R9199,O101944,P1254,2024-04-06,Damaged,55563
R9200,O105385,P1004,2024-03-24,Customer Dissatisfied,13662
R9201,O104206,P1155,2024-12-09,Wrong Item,45096
R9202,O102228,P1203,2024-01-24,Damaged,51456
R9203,O107748,P1079,2024-12-26,Wrong Item,45795
R9204,O107989,P1039,2024-12-11,Damaged,9486
R9205,O103502,P1203,2024-06-02,Customer Dissatisfied,51456
R9206,O106224,P1233,2025-07-11,Damaged,51332
R9207,O104155,P1147,2024-04-14,Damaged,40424
R9208,O109010,P1122,2025-09-17,Wrong Item,19716
R9209,O103750,P1106,2024-09-24,Wrong Item,16729
R9210,O107463,P1025,2025-06-28,Customer Dissatisfied,41810
R9211,O108275,P1070,2024-05-18,Customer Dissatisfied,11508
R9212,O105136,P1241,2025-04-18,Damaged,19467
R9213,O109351,P1129,2024-02-21,Damaged,5589
R9214,O103895,P1230,2025-02-21,Customer Dissatisfied,48300
R9215,O104215,P1269,2024-05-16,Customer Dissatisfied,9368
R9216,O100082,P1237,2025-02-11,Customer Dissatisfied,63300
R9217,O107859,P1235,2024-04-23,Customer Dissatisfied,21005
R9218,O102783,P1149,2025-03-12,Damaged,49364
R9219,O108346,P1003,2024-01-10,Customer Dissatisfied,4482
R9220,O106132,P1202,2025-03-17,Damaged,63016
R9221,O100449,P1060,2025-11-03,Damaged,41960
R9222,O105522,P1221,2024-02-17,Customer Dissatisfied,17898
R9223,O101416,P1076,2024-06-16,Wrong Item,50853
R9224,O105090,P1285,2025-08-05,Wrong Item,61788
R9225,O100040,P1224,2025-07-01,Wrong Item,108110
R9226,O106116,P1125,2024-09-08,Damaged,24450
