region,year,month,sales_target
North,2024,1,723860
North,2024,2,1083404
North,2024,3,1139397
North,2024,4,638143
North,2024,5,1130878
North,2024,6,863499
North,2024,7,613059
North,2024,8,669849
North,2024,9,882352
North,2024,10,926826
North,2024,11,688196
North,2024,12,1194270
South,2024,1,598884
South,2024,2,747383
South,2024,3,987310
South,2024,4,942645
South,2024,5,848126
South,2024,6,1012706
South,2024,7,584308
South,2024,8,561113
South,2024,9,1086786
South,2024,10,961150
South,2024,11,837145
South,2024,12,1130420
East,2024,1,732534
East,2024,2,977380
East,2024,3,995655
East,2024,4,1154258
East,2024,5,884580
East,2024,6,862134
East,2024,7,922991
East,2024,8,1086017
East,2024,9,676493
East,2024,10,1039172
East,2024,11,871348
East,2024,12,703127
West,2024,1,702125
West,2024,2,762749
West,2024,3,650726
West,2024,4,965847
West,2024,5,733380
West,2024,6,899466
West,2024,7,846255
West,2024,8,667620
West,2024,9,1074948
West,2024,10,1185647
West,2024,11,815550
West,2024,12,541125
