order_id,order_date,customer_id,product_id,store_id,region,sales_channel,quantity,unit_price,discount,payment_method,order_status
O100000,10-02-2024,C6085,P1203,S241,South,Store,2,17152,0,Debit Card,Completed
O100001,31-07-2025,C5745,P1046,S247,North,Store,3,-11020,498,Cash,Completed
O100002,02-07-2025,,P1136,S235,NORTH,Store,2,3271,0,Credit Card,Cancelled
O100003,14-10-2024,C5646,P1042,S225,SOuth,Online,4,20007,0,Debit Card,Completed
O100004,18-10-2024,C5044,P1156,S234,East,Store,1,14997,271,Cash,Completed
O100005,31-05-2025,C5225,P1067,S202,East,Store,4,18554,0,Cash,Completed
O100006,28-10-2024,C6361,P1203,S239,west,Store,-2,17152,0,Cash,Completed
O100007,26-09-2024,C6040,P1114,S205,South,ONline,4,15114,56,UPI,Completed
O100008,31-03-2024,C5565,,S215,East,Store,2,13862,0,UPI,Cancelled
O100009,10-12-2024,,P1013,S245,East,Store,4,18762,177,Debit Card,Completed
O100010,26-10-2024,C5068,P1296,S226,North,Store,3,10596,0,Cash,Completed
O100011,09-10-2024,C5622,P1217,S209,West,Online,2,9870,0,Cash,Completed
O100012,28-02-2025,,P1193,S243,South,Store,5,18061,0,Debit Card,Completed
O100013,16-06-2025,C6688,P1279,S226,NorTH,Store,1,5899,0,Credit Card,Completed
O100014,19-06-2025,C6448,,S231,North,store,5,11470,0,UPI,Completed
O100015,09-05-2025,C5087,P1233,S215,East,Online,1,12833,0,Cash,Completed
O100016,24-04-2024,C6329,P1290,S240,nORTH,Online,4,-5987,0,Cash,Completed
O100017,04-11-2024,C5073,P1271,S224,East,Store,3,14975,0,Credit Card,Completed
O100018,15-02-2024,C6628,P1115,S201,South,Online,3,20308,466,Debit Card,Cancelled
O100019,13-10-2025,C5589,P1220,S230,East,Online,4,15484,0,UPI,Completed
O100020,03-02-2024,C5382,,S200,West,Store,5,10169,0,Debit Card,Completed
O100021,25-11-2025,C5160,P1072,S217,West,Store,2,11213,0,UPI,Completed
O100022,05-12-2025,C5589,P1211,S224,East,Online,5,17552,0,Debit Card,Cancelled
O100023,14-06-2024,C6473,P1089,S215,East,Online,3,18424,0,Cash,Cancelled
O100024,25-11-2024,C5835,P1183,S217,West,Online,1,3139,204,Cash,Cancelled
O100025,11-02-2025,C6446,P1267,S249,East,Store,1,14604,215,Credit Card,Completed
O100026,26-10-2025,C6449,P1286,S225,South,Online,-2,1267,0,Credit Card,Completed
O100027,06-05-2025,,P1191,S243,South,Online,4,13093,0,Cash,Completed
O100028,09-08-2024,C6687,P1154,S205,South,Store,3,16309,0,UPI,Completed
O100029,07-06-2025,C5834,P1172,S216,East,Store,1,-15856,399,UPI,Cancelled
O100030,25-04-2024,C5595,P1049,S203,East,Online,5,4384,0,Credit Card,Completed
O100031,10-03-2024,C6079,P1198,S239,West,Online,3,-834,0,Debit Card,Completed
O100032,10-06-2024,C6380,P1021,S249,East,Online,2,11470,0,Cash,Completed
O100033,23-01-2024,C5309,,S226,North,Online,4,-1650,0,Debit Card,Cancelled
O100034,23-11-2024,C5991,P1130,S210,North,Store,5,9394,83,Cash,Cancelled
O100035,12-08-2025,C5057,P1287,S227,North,Online,-2,21054,0,Debit Card,Completed
O100036,20-06-2025,C6198,P1268,S227,North,Online,3,5770,139,Cash,Cancelled
O100037,02-05-2024,C5054,P1247,S232,North,Store,5,15686,0,UPI,Completed
O100038,26-02-2024,C6996,P1069,S245,East,Online,4,10947,0,Credit Card,Completed
O100039,11-11-2024,C5553,P1038,S220,South,Online,-3,22462,0,Cash,Cancelled
O100040,26-06-2025,C5943,P1224,S215,East,Store,5,21622,0,UPI,Completed
O100041,17-06-2024,C6323,P1068,S244,East,Store,3,11524,285,Cash,Completed
O100042,14-01-2025,C6684,P1167,S247,North,Store,1,14354,322,Credit Card,Completed
O100043,26-02-2025,C5240,P1039,S204,North,Online,5,3162,0,Debit Card,Completed
O100044,24-06-2025,C5433,P1073,S222,East,Online,4,5249,0,UPI,Completed
O100045,19-10-2025,C5561,P1288,S204,North,Store,3,10267,0,Cash,Cancelled
O100046,03-07-2024,C5520,P1182,S229,South,Store,5,18616,0,Debit Card,Completed
O100047,28-09-2025,C5334,P1159,S249,East,Store,4,18152,0,Cash,Completed
O100048,21-12-2025,C6679,P1176,S249,East,Online,4,14974,0,Cash,Cancelled
O100049,16-03-2024,C6349,P1174,S240,North,Store,3,21347,0,Cash,Completed
O100050,09-12-2024,C5220,P1148,S244,East,Store,2,10231,209,Cash,Cancelled
O100051,15-12-2024,C6329,P1200,S249,East,Store,5,2422,0,Credit Card,Cancelled
O100052,02-07-2024,C5509,P1017,S219,North,Online,1,16288,0,Debit Card,Completed
