return_id,order_id,product_id,return_date,return_reason,refund_amount
R9000,O103443,P1247,13-07-2025,Customer Dissatisfied,31372
R9001,O104834,P1286,10-04-2025,Wrong Item,1267
R9002,O105138,P1027,02-12-2024,Damaged,20212
R9003,O101496,P1177,06-09-2024,Wrong Item,-4568
R9004,O101774,P1275,11-08-2024,Damaged,44044
R9005,O109242,P1265,26-11-2025,Wrong Item,47968
R9006,O107301,P1087,12-04-2025,Wrong Item,20248
R9007,O109048,P1141,11-03-2025,Customer Dissatisfied,16821
R9008,O100466,P1162,18-09-2024,Damaged,8893
R9009,O106771,P1241,23-12-2024,Wrong Item,97335
R9010,O100732,P1127,13-10-2025,Damaged,-11658
R9011,O108423,P1009,06-06-2025,Customer Dissatisfied,63268
R9012,O107864,P1259,19-04-2025,Customer Dissatisfied,27994
R9013,O109202,P1079,12-03-2025,Wrong Item,27477
R9014,O105029,P1173,13-01-2024,Wrong Item,36980
R9015,O106369,P1052,11-02-2025,Damaged,27482
R9016,O108141,P1274,08-04-2025,Customer Dissatisfied,62184
R9017,O109042,P1008,08-10-2025,Wrong Item,22978
R9018,O108459,P1183,03-08-2025,Customer Dissatisfied,9417
R9019,O102559,P1211,12-08-2025,Customer Dissatisfied,52656
R9020,O105963,P1015,31-03-2024,Wrong Item,38984
R9021,O104103,P1298,31-07-2025,Damaged,-28352
R9022,O104735,P1163,27-12-2024,Wrong Item,35772
R9023,O108129,P1186,13-12-2025,Wrong Item,74915
R9024,O102128,P1174,17-11-2024,Damaged,106735
R9025,O107244,P1196,30-07-2025,Customer Dissatisfied,68460
R9026,O105716,P1053,19-07-2024,Wrong Item,3129
R9027,O105664,P1230,06-01-2025,Wrong Item,48300
R9028,O106563,P1292,11-02-2025,Wrong Item,46428
R9029,O103254,P1128,11-06-2025,Customer Dissatisfied,30234
R9030,O103008,P1114,18-11-2025,Damaged,75570
R9031,O103170,P1120,06-07-2025,Customer Dissatisfied,20523
R9032,O107072,P1019,23-02-2024,Damaged,55025
R9033,O109646,P1244,25-09-2025,Customer Dissatisfied,17319
R9034,O107012,P1044,24-05-2025,Wrong Item,11357
R9035,O101193,P1079,12-05-2024,Customer Dissatisfied,45795
R9036,O103335,P1180,13-08-2024,Customer Dissatisfied,20388
R9037,O107409,P1142,11-10-2024,Wrong Item,44044
R9038,O104090,P1185,18-03-2024,Damaged,38140
R9039,O109532,P1091,08-02-2024,Damaged,38352
R9040,O109345,P1043,08-01-2024,Customer Dissatisfied,50550
R9041,O102756,P1066,16-06-2024,Wrong Item,88565
R9042,O105301,P1130,20-01-2025,Damaged,37576
R9043,O107148,P1014,15-08-2025,Wrong Item,20574
R9044,O104413,P1159,25-07-2025,Wrong Item,18152
R9045,O107145,P1001,30-11-2025,Customer Dissatisfied,77830
R9046,O104278,P1225,16-12-2024,Customer Dissatisfied,29220
R9047,O102889,P1255,24-01-2024,Wrong Item,74255
R9048,O103807,P1240,20-02-2024,Damaged,45630
R9049,O100613,P1253,08-07-2024,Wrong Item,61815
R9050,O109001,P1131,28-03-2024,Wrong Item,20406
R9051,O107761,P1262,24-11-2025,Wrong Item,34434
R9052,O102905,P1010,06-02-2024,Damaged,35304
R9053,O103820,P1021,19-12-2025,Damaged,22940
R9054,O108395,P1262,22-11-2024,Damaged,45912
R9055,O103913,P1056,24-06-2024,Customer Dissatisfied,68916
R9056,O104605,P1208,24-07-2024,Customer Dissatisfied,22530
R9057,O100067,P1006,17-12-2024,Customer Dissatisfied,71780
R9058,O107604,P1001,18-12-2025,Damaged,46698
R9059,O103483,P1027,21-07-2025,Wrong Item,25265
R9060,O103785,P1008,27-03-2025,Customer Dissatisfied,57445
R9061,O109335,P1096,04-06-2024,Customer Dissatisfied,50853
R9062,O103291,P1279,05-07-2025,Wrong Item,23596
R9063,ORPHAN_3,P1006,12-09-2025,Damaged,35890
R9064,O104739,P1090,12-06-2025,Damaged,6496
R9065,ORPHAN_11,P1255,19-07-2025,Damaged,44553
R9066,ORPHAN_5,P1195,26-06-2025,Damaged,2809
R9067,ORPHAN_14,P1167,11-06-2025,Damaged,43062
R9068,O109372,P1164,22-07-2024,Damaged,23100
R9069,O106100,P1276,02-04-2024,Wrong Item,53076
R9070,O102112,P1295,14-11-2025,Customer Dissatisfied,16685
R9071,O100630,P1064,13-11-2025,Wrong Item,66975
R9072,O107639,P1146,21-01-2024,Wrong Item,26606
R9073,O107387,P1187,27-02-2024,Wrong Item,54375
R9074,O102395,P1035,26-11-2024,Damaged,109010
R9075,O106459,P1124,13-10-2024,Damaged,74772
R9076,O103899,P1017,24-06-2025,Customer Dissatisfied,16288
R9077,O101012,P1022,10-04-2025,Customer Dissatisfied,58132
R9078,O103905,P1216,21-01-2025,Damaged,79968
R9079,O108225,P1084,07-12-2025,Customer Dissatisfied,75868
R9080,O109838,P1268,27-09-2025,Damaged,17310
R9081,O109678,P1241,20-06-2024,Wrong Item,58401
R9082,O106793,P1220,11-02-2024,Wrong Item,46452
R9083,O105351,P1089,15-06-2024,Damaged,18424
R9084,O103102,P1009,09-03-2025,Customer Dissatisfied,63268
R9085,O100255,P1294,13-09-2025,Wrong Item,32728
R9086,O105605,P1269,07-02-2025,Wrong Item,23420
R9087,O103792,P1172,07-12-2024,Damaged,63424
R9088,O104690,P1250,06-11-2024,Wrong Item,18984
R9089,O102286,P1056,07-07-2024,Wrong Item,86145
R9090,O106155,P1226,05-02-2025,Wrong Item,76896
R9091,O102421,P1066,13-09-2025,Customer Dissatisfied,35426
R9092,O102673,P1297,04-02-2024,Damaged,101535
R9093,O102502,P1129,04-08-2025,Customer Dissatisfied,-22356
R9094,O109545,P1184,02-05-2025,Damaged,23546
R9095,O101109,P1071,09-12-2024,Damaged,20344
R9096,O106218,P1248,11-11-2025,Wrong Item,40440
R9097,O101753,P1240,02-03-2024,Damaged,36504
R9098,O109409,P1178,02-06-2025,Wrong Item,34540
R9099,O100509,P1226,29-04-2024,Customer Dissatisfied,38448
R9100,O103528,P1236,24-02-2025,Wrong Item,4950
R9101,O105502,P1227,15-05-2024,Damaged,26910
R9102,O108267,P1177,12-05-2025,Wrong Item,9136
R9103,O107213,P1258,14-08-2025,Customer Dissatisfied,43560
R9104,O106703,P1062,22-10-2025,Wrong Item,17006
R9105,O103692,P1011,14-04-2025,Wrong Item,20310
R9106,O105001,P1239,04-05-2025,Wrong Item,102170
R9107,O100192,P1186,16-12-2024,Customer Dissatisfied,29966
R9108,O102302,P1015,29-12-2024,Wrong Item,38984
R9109,O100953,P1157,24-03-2025,Wrong Item,40938
R9110,O100885,P1160,15-12-2025,Customer Dissatisfied,85100
R9111,O107903,P1153,10-05-2025,Damaged,56044
R9112,O104613,P1023,06-05-2025,Wrong Item,44592
R9113,O109166,P1188,06-11-2025,Customer Dissatisfied,45984
R9114,O104908,P1030,29-09-2025,Customer Dissatisfied,11890
R9115,O104813,P1172,18-10-2024,Damaged,79280
R9116,O100092,P1126,06-07-2025,Wrong Item,13666
R9117,O106789,P1195,11-07-2024,Wrong Item,8427
R9118,O107065,P1042,14-04-2025,Damaged,80028
R9119,O108018,P1245,26-04-2024,Damaged,16865
R9120,O107073,P1273,21-04-2024,Wrong Item,52830
R9121,O102864,P1049,22-01-2024,Customer Dissatisfied,4384
R9122,O109411,P1041,25-07-2024,Wrong Item,46335
R9123,O103623,P1152,14-04-2025,Customer Dissatisfied,35211
R9124,O108984,P1187,24-01-2025,Wrong Item,32625
R9125,O100354,P1266,22-11-2025,Wrong Item,15728
R9126,O101028,P1270,14-02-2024,Damaged,59499
R9127,O107086,P1190,20-08-2024,Damaged,45298
R9128,O102513,P1198,29-08-2025,Customer Dissatisfied,4170
R9129,O101267,P1296,15-06-2024,Wrong Item,52980
R9130,O109624,P1104,31-10-2025,Wrong Item,56223
R9131,O108315,P1199,07-04-2025,Wrong Item,87945
R9132,O109730,P1022,07-02-2025,Wrong Item,58132
R9133,O106125,P1183,01-04-2025,Wrong Item,15695
R9134,O109220,P1205,03-09-2024,Customer Dissatisfied,3522
R9135,O103173,P1006,09-07-2025,Damaged,-89725
R9136,O102862,P1208,06-11-2025,Wrong Item,33795
R9137,O108339,P1232,03-04-2024,Customer Dissatisfied,12972
R9138,O108113,P1068,30-11-2024,Wrong Item,57620
R9139,O108292,P1053,25-08-2025,Customer Dissatisfied,15645
R9140,O107657,P1005,02-10-2025,Wrong Item,31974
