transaction_id,store_id,store_name,date,product_id,product_name,quantity,unit_price,total,customer_id,promo_code
1001,1,Downtown,2025-10-01,501,Notebook,2,3.5,7.0,2001.0,
1002,1,Downtown,2025-10-01,502,Pen,5,0.8,4.0,2002.0,DISC10
1003,2,Suburb,2025-10-02,501,Notebook,1,3.5,3.5,2003.0,
1004,2,Suburb,2025-10-02,503,Stapler,1,5.25,5.25,,
1005,1,Downtown,2025-10-03,504,Folder,3,1.2,3.6,2004.0,DISC10
1006,3,Airport,2025-10-03,502,Pen,10,0.8,8.0,2005.0,
1007,3,Airport,2025-10-04,505,Marker,2,1.75,3.5,2006.0,
1008,1,Downtown,2025-10-04,502,Pen,2,0.8,1.6,2002.0,
1009,2,Suburb,2025-10-05,506,Highlighter,4,0.9,3.6,2007.0,
1010,2,Suburb,2025-10-05,501,Notebook,1,3.5,3.5,2008.0,DISC5
1011,3,Airport,2025-10-20,505,Marker,3,7.91,23.73,2004.0,DISC10
1012,3,Airport,2025-10-23,503,Stapler,3,8.73,26.19,2003.0,DISC20
1013,2,Suburb,2025-10-21,502,Pen,4,9.42,37.68,2001.0,
1014,1,Downtown,2025-10-01,504,Folder,2,5.49,10.98,2008.0,
1015,3,Airport,2025-10-27,502,Pen,4,9.75,39.0,2002.0,
1016,3,Airport,2025-10-20,501,Notebook,3,8.67,26.01,2006.0,
1017,1,Downtown,2025-10-07,502,Pen,4,9.45,37.8,2001.0,DISC10
1018,1,Downtown,2025-10-26,505,Marker,2,7.0,14.0,2006.0,
1019,1,Downtown,2025-10-08,503,Stapler,1,2.96,2.96,2007.0,
1020,2,Suburb,2025-10-30,506,Highlighter,2,5.89,11.78,2001.0,DISC10
1021,2,Suburb,2025-10-10,506,Highlighter,4,6.18,24.72,2007.0,
1022,1,Downtown,2025-10-30,505,Marker,5,3.08,15.4,2004.0,DISC10
1023,1,Downtown,2025-10-28,504,Folder,4,3.12,12.48,,
1024,3,Airport,2025-10-09,501,Notebook,4,3.29,13.16,2002.0,
1025,3,Airport,2025-10-03,501,Notebook,3,1.2,3.6,2006.0,DISC10
1026,1,Downtown,2025-10-28,501,Notebook,4,3.64,14.56,2006.0,
1027,3,Airport,2025-10-12,506,Highlighter,3,5.83,17.49,2002.0,
1028,3,Airport,2025-10-14,503,Stapler,1,7.36,7.36,2006.0,DISC20
1029,1,Downtown,2025-10-15,502,Pen,2,4.67,9.34,2002.0,
1030,1,Downtown,2025-10-04,506,Highlighter,5,2.87,14.35,2003.0,
1031,3,Airport,2025-10-27,503,Stapler,4,9.33,37.32,2008.0,
1032,2,Suburb,2025-10-28,504,Folder,4,2.27,9.08,2006.0,
1033,1,Downtown,2025-10-07,506,Highlighter,1,3.09,3.09,2008.0,
1034,1,Downtown,2025-10-09,503,Stapler,3,4.47,13.41,2004.0,
1035,3,Airport,2025-10-10,504,Folder,3,3.57,10.71,2007.0,
1036,1,Downtown,2025-10-30,501,Notebook,2,9.64,19.28,2006.0,DISC10
1037,3,Airport,2025-10-17,505,Marker,1,9.98,9.98,,DISC10
1038,2,Suburb,2025-10-28,506,Highlighter,5,3.78,18.9,,DISC20
1039,2,Suburb,2025-10-02,505,Marker,4,4.75,19.0,2005.0,
1040,3,Airport,2025-10-11,503,Stapler,1,7.42,7.42,2007.0,
1041,2,Suburb,2025-10-06,506,Highlighter,3,8.26,24.78,,
1042,3,Airport,2025-10-06,505,Marker,3,6.11,18.33,2003.0,DISC20
1043,2,Suburb,2025-10-03,503,Stapler,4,6.63,26.52,2003.0,
1044,1,Downtown,2025-10-08,502,Pen,1,6.92,6.92,2008.0,
1045,2,Suburb,2025-10-23,506,Highlighter,2,2.95,5.9,2008.0,
1046,1,Downtown,2025-10-02,501,Notebook,4,5.8,23.2,2006.0,
1047,1,Downtown,2025-10-03,503,Stapler,3,8.64,25.92,2005.0,
1048,3,Airport,2025-10-17,504,Folder,4,6.02,24.08,2008.0,DISC20
1049,1,Downtown,2025-10-29,502,Pen,2,5.11,10.22,2002.0,
1050,1,Downtown,2025-10-04,501,Notebook,4,2.75,11.0,2004.0,
1051,3,Airport,2025-10-03,501,Notebook,1,5.65,5.65,2002.0,
1052,3,Airport,2025-10-22,503,Stapler,3,8.05,24.15,,
1053,3,Airport,2025-10-01,505,Marker,4,7.36,29.44,2002.0,
1054,3,Airport,2025-10-17,501,Notebook,4,9.43,37.72,2004.0,DISC20
1055,1,Downtown,2025-10-05,505,Marker,1,5.75,5.75,2002.0,
1056,1,Downtown,2025-10-20,505,Marker,5,2.31,11.55,,DISC20
1057,2,Suburb,2025-10-25,502,Pen,2,9.34,18.68,2007.0,DISC10
1058,3,Airport,2025-10-22,502,Pen,3,3.31,9.93,,
1059,1,Downtown,2025-10-11,506,Highlighter,5,3.32,16.6,2002.0,DISC10
1060,1,Downtown,2025-10-24,505,Marker,4,5.36,21.44,2008.0,
1061,1,Downtown,2025-10-20,501,Notebook,4,8.92,35.68,2001.0,DISC10
1062,3,Airport,2025-10-22,503,Stapler,1,1.97,1.97,2005.0,DISC10
1063,2,Suburb,2025-10-22,501,Notebook,4,0.87,3.48,2005.0,DISC20
1064,1,Downtown,2025-10-01,505,Marker,4,2.55,10.2,2004.0,
1065,2,Suburb,2025-10-13,504,Folder,3,6.56,19.68,2003.0,
1066,2,Suburb,2025-10-28,502,Pen,3,8.05,24.15,2002.0,
1067,2,Suburb,2025-10-23,502,Pen,5,2.25,11.25,2006.0,
1068,1,Downtown,2025-10-01,502,Pen,2,1.99,3.98,2001.0,
1069,1,Downtown,2025-10-21,501,Notebook,5,7.51,37.55,2004.0,
1070,3,Airport,2025-10-03,504,Folder,2,3.88,7.76,2004.0,
1071,1,Downtown,2025-10-14,504,Folder,5,1.39,6.95,2003.0,
1072,2,Suburb,2025-10-26,505,Marker,4,2.15,8.6,2004.0,DISC10
1073,2,Suburb,2025-10-22,505,Marker,4,0.93,3.72,2002.0,DISC10
1074,1,Downtown,2025-10-24,505,Marker,5,2.05,10.25,2007.0,DISC10
1075,1,Downtown,2025-10-28,503,Stapler,4,5.97,23.88,2001.0,DISC20
1076,1,Downtown,2025-10-01,505,Marker,3,8.3,24.9,2002.0,
1077,1,Downtown,2025-10-08,502,Pen,3,2.36,7.08,2001.0,
1078,3,Airport,2025-10-18,503,Stapler,1,6.73,6.73,2001.0,DISC20
1079,1,Downtown,2025-10-07,504,Folder,2,7.12,14.24,2007.0,
1080,1,Downtown,2025-10-21,505,Marker,1,5.71,5.71,2004.0,
1081,3,Airport,2025-10-17,503,Stapler,4,4.03,16.12,2006.0,
1082,1,Downtown,2025-10-23,505,Marker,1,2.76,2.76,,
1083,2,Suburb,2025-10-20,501,Notebook,5,9.01,45.05,,
1084,1,Downtown,2025-10-09,503,Stapler,4,3.87,15.48,2003.0,DISC20
1085,2,Suburb,2025-10-15,505,Marker,5,3.29,16.45,2008.0,
