product_id,product_name,category,brand,unit_cost,active_flag,last_updated_ts
P0001,Product_1,Electronics,Brand_0,398.81,True,2024-02-22 21:16:44.686268806
P0002,Product_2,Clothing,Brand_1,472.77,True,2024-06-27 15:36:22.248113155
P0003,Product_3,Home,Brand_2,452.67,True,2024-12-25 18:17:52.720831871
P0004,Product_4,Grocery,Brand_3,319.05,True,2024-03-29 08:24:15.042386770
P0005,Product_5,,Brand_4,464.84,True,2024-09-02 07:54:26.622991800
P0006,Product_6,Electronics,Brand_5,89.82,True,2024-10-04 23:47:16.189006329
P0007,Product_7,Clothing,Brand_6,138.19,True,2024-03-27 17:42:17.587344408
P0008,Product_8,Home,Brand_7,70.35,True,2024-09-22 19:10:30.769823551
P0009,Product_9,Grocery,Brand_8,196.4,True,2024-05-14 05:46:48.873434305
P0010,Product_10,,Brand_9,224.9,True,2024-08-18 18:59:56.673599243
P0011,Product_11,Electronics,Brand_0,172.11,True,2024-08-19 05:43:12.958555460
P0012,Product_12,Clothing,Brand_1,422.93,True,2024-07-14 13:23:10.436981678
P0013,Product_13,Home,Brand_2,210.54,True,2024-02-02 22:56:18.188435793
P0014,Product_14,Grocery,Brand_3,176.42,True,2024-10-31 21:14:59.500902176
P0015,Product_15,,Brand_4,294.21,True,2024-04-27 02:02:00.128948689
P0016,Product_16,Electronics,Brand_5,113.42,True,2024-03-09 01:54:07.743969917
P0017,Product_17,Clothing,Brand_6,410.99,True,2024-01-15 21:11:24.864071131
P0018,Product_18,Home,Brand_7,83.55,True,2024-08-03 16:13:19.856384277
P0019,Product_19,Grocery,Brand_8,494.1,True,2024-09-04 07:27:49.715058327
P0020,Product_20,,Brand_9,397.51,True,2024-01-07 01:18:33.773068905
P0021,Product_21,Electronics,Brand_0,139.42,True,2024-07-05 21:56:06.686526060
P0022,Product_22,Clothing,Brand_1,52.48,True,2024-03-23 16:06:10.766642094
P0023,Product_23,Home,Brand_2,416.96,True,2024-08-23 11:42:49.118352413
P0024,Product_24,Grocery,Brand_3,368.09,True,2024-03-04 15:26:59.705101490
P0025,Product_25,,Brand_4,378.05,True,2024-09-09 04:36:52.508799314
P0026,Product_26,Electronics,Brand_5,397.07,True,2024-05-21 03:48:05.880933762
P0027,Product_27,Clothing,Brand_6,83.32,True,2024-12-07 21:45:16.924801588
P0028,Product_28,Home,Brand_7,211.31,True,2024-02-20 04:41:00.494588137
P0029,Product_29,Grocery,Brand_8,102.14,True,2024-05-04 11:44:28.446720839
P0030,Product_30,,Brand_9,438.4,True,2024-02-11 10:01:40.965843201
P0031,Product_31,Electronics,Brand_0,330.48,True,2024-12-03 12:18:57.946032763
P0032,Product_32,Clothing,Brand_1,198.9,True,2024-11-16 05:29:33.848222733
P0033,Product_33,Home,Brand_2,78.6,True,2024-04-04 03:34:07.171625137
P0034,Product_34,Grocery,Brand_3,189.94,True,2024-08-28 21:27:36.875733852
P0035,Product_35,,Brand_4,196.33,True,2024-10-25 06:51:59.305545568
P0036,Product_36,Electronics,Brand_5,378.32,True,2024-07-21 15:33:32.794600725
P0037,Product_37,Clothing,Brand_6,336.9,True,2024-07-12 07:44:20.639034986
P0038,Product_38,Home,Brand_7,449.25,True,2024-03-29 06:37:33.845836639
P0039,Product_39,Grocery,Brand_8,262.5,True,2024-02-03 23:34:48.885526896
P0040,Product_40,,Brand_9,103.82,True,2024-11-23 11:36:36.142816067
P0041,Product_41,Electronics,Brand_0,370.96,True,2024-11-24 15:39:43.850702763
P0042,Product_42,Clothing,Brand_1,392.35,True,2024-08-19 01:58:07.556569815
P0043,Product_43,Home,Brand_2,302.57,True,2024-05-03 17:54:03.490511894
P0044,Product_44,Grocery,Brand_3,396.94,True,2024-05-07 11:04:33.144984961
P0045,Product_45,,Brand_4,272.21,True,2024-09-21 23:22:18.288851976
P0046,Product_46,Electronics,Brand_5,285.23,True,2024-11-23 10:41:09.157864571
P0047,Product_47,Clothing,Brand_6,242.39,True,2024-11-19 18:52:37.475624800
P0048,Product_48,Home,Brand_7,61.44,True,2024-10-11 15:42:35.214165926
P0049,Product_49,Grocery,Brand_8,98.55,True,2024-08-22 08:11:49.993121624
P0050,Product_50,,Brand_9,64.14,True,2024-01-31 17:03:57.936083794
P0051,Product_51,Electronics,Brand_0,336.38,True,2024-02-28 23:52:03.127687692
P0052,Product_52,Clothing,Brand_1,191.46,True,2024-11-23 23:20:04.889389992
P0053,Product_53,Home,Brand_2,278.86,True,2024-08-09 08:19:06.825424910
P0054,Product_54,Grocery,Brand_3,458.4,True,2024-01-04 08:33:58.219782114
P0055,Product_55,,Brand_4,162.18,True,2024-02-07 00:53:26.575823307
P0056,Product_56,Electronics,Brand_5,234.67,True,2024-08-30 04:16:31.790591717
P0057,Product_57,Clothing,Brand_6,390.0,True,2024-01-02 20:20:22.108174324
P0058,Product_58,Home,Brand_7,152.96,True,2024-02-28 16:40:42.709502220
P0059,Product_59,Grocery,Brand_8,84.64,True,2024-07-19 06:54:28.781464577
P0060,Product_60,,Brand_9,180.39,True,2024-09-09 13:00:06.954436779
P0061,Product_61,Electronics,Brand_0,122.55,True,2024-08-25 23:10:50.279674053
P0062,Product_62,Clothing,Brand_1,468.36,True,2024-03-22 20:35:56.943148136
P0063,Product_63,Home,Brand_2,413.65,True,2024-09-16 22:41:23.924415827
P0064,Product_64,Grocery,Brand_3,335.03,True,2024-03-27 14:18:07.223299026
P0065,Product_65,,Brand_4,442.16,True,2024-04-28 18:30:04.881150723
P0066,Product_66,Electronics,Brand_5,411.65,True,2024-09-29 11:15:52.951802015
P0067,Product_67,Clothing,Brand_6,133.96,True,2024-08-25 02:47:03.104352951
P0068,Product_68,Home,Brand_7,451.65,True,2024-11-05 23:11:49.473344326
P0069,Product_69,Grocery,Brand_8,292.7,True,2024-08-28 00:41:20.171583652
P0070,Product_70,,Brand_9,413.35,True,2024-07-26 10:23:00.114787340
P0071,Product_71,Electronics,Brand_0,453.24,True,2024-02-04 04:35:27.478226662
P0072,Product_72,Clothing,Brand_1,193.1,True,2024-05-14 05:11:25.565282345
P0073,Product_73,Home,Brand_2,99.52,True,2024-04-06 19:10:21.867210865
P0074,Product_74,Grocery,Brand_3,152.57,True,2024-03-30 01:20:57.393602848
P0075,Product_75,,Brand_4,242.2,True,2024-12-21 03:34:20.854673147
P0076,Product_76,Electronics,Brand_5,418.11,True,2024-05-23 11:32:09.845090866
P0077,Product_77,Clothing,Brand_6,437.33,True,2024-11-21 14:19:40.164065361
P0078,Product_78,Home,Brand_7,53.13,True,2024-08-18 08:46:27.709449768
P0079,Product_79,Grocery,Brand_8,279.84,True,2024-10-17 02:32:49.268489361
P0080,Product_80,,Brand_9,237.83,True,2024-07-02 11:06:03.368165255
P0081,Product_81,Electronics,Brand_0,149.95,True,2024-07-29 13:40:40.905576944
P0082,Product_82,Clothing,Brand_1,103.94,True,2024-06-28 18:27:17.992271662
P0083,Product_83,Home,Brand_2,201.93,True,2024-03-12 06:19:42.863199234
P0084,Product_84,Grocery,Brand_3,474.31,True,2024-09-20 16:40:49.906886816
P0085,Product_85,,Brand_4,195.44,True,2024-04-12 11:33:57.221934795
P0086,Product_86,Electronics,Brand_5,283.46,True,2024-01-09 21:00:28.317382336
P0087,Product_87,Clothing,Brand_6,366.36,True,2024-08-23 14:20:14.323728561
P0088,Product_88,Home,Brand_7,213.63,True,2024-03-05 15:29:22.385780811
P0089,Product_89,Grocery,Brand_8,487.3,True,2024-12-09 06:25:01.916153431
P0090,Product_90,,Brand_9,483.1,True,2024-12-14 04:24:51.604353666
P0091,Product_91,Electronics,Brand_0,163.3,True,2024-11-29 22:12:43.409991980
P0092,Product_92,Clothing,Brand_1,273.76,True,2024-05-15 02:35:24.771255732
P0093,Product_93,Home,Brand_2,185.4,True,2024-01-06 15:23:59.858854294
P0094,Product_94,Grocery,Brand_3,178.18,True,2024-12-04 20:04:14.189766407
P0095,Product_95,,Brand_4,66.6,True,2024-06-05 06:53:35.301334858
P0096,Product_96,Electronics,Brand_5,324.3,False,2024-12-18 19:53:46.373361111
P0097,Product_97,Clothing,Brand_6,276.21,False,2024-12-17 17:18:39.597486734
P0098,Product_98,Home,Brand_7,73.17,False,2024-11-07 08:21:46.187618732
P0099,Product_99,Grocery,Brand_8,175.39,False,2024-04-17 11:22:20.260306358
P0100,Product_100,,Brand_9,458.72,False,2024-05-20 13:27:21.969190359
P9999,Invalid_Product,Unknown,Brand_0,157.8,False,2024-11-06 15:57:26.072955608
