transaction_id,transaction_date,store_id,product_id,quantity,unit_price,discount,currency,last_updated_ts,total_amount
T000000,2024-04-25,S042,P0065,-1,1937.81,215.04,INR,2024-05-03 17:03:32.371525764,-2152.85
T000001,2024-03-02,S034,P0018,2,1023.84,219.47,INR,2024-01-19 03:28:51.836675644,1828.21
T000002,2024-07-22,S009,P0039,-2,1664.41,170.68,INR,2024-08-10 04:44:31.759688616,-3499.5
T000003,2024-12-07,S002,P0044,0,1562.2,263.39,INR,2024-08-19 16:13:54.862202406,-263.39
T000004,2024-09-11,S030,P0097,7,1359.23,47.48,INR,2024-06-24 01:01:50.344134808,9467.130000000001
T000005,2024-07-27,S022,P0100,2,1803.94,17.26,INR,2024-05-24 20:29:23.979604006,3590.62
T000006,2024-02-05,S046,P0018,4,578.04,91.22,INR,2024-11-21 19:44:30.844214916,2220.94
T000007,2024-08-12,S011,P0047,5,1659.47,26.48,INR,2024-12-08 12:42:35.011418343,8270.87
T000008,2024-12-27,S043,P0031,4,817.8,18.09,INR,2024-09-02 16:53:43.671999693,3253.1099999999997
T000009,2024-02-21,S017,P0099,4,1643.73,125.73,INR,2024-07-01 22:43:50.796877384,6449.1900000000005
T000010,2024-07-08,S036,P0039,8,1038.2,60.15,INR,2024-01-25 15:43:04.333431482,8245.45
T000011,2024-11-16,S013,P0038,-1,1729.65,,INR,2024-04-19 21:05:39.209058762,
T000012,2024-09-27,S007,P0079,3,1800.2,173.94,INR,2024-04-14 01:24:13.259514809,5226.660000000001
T000013,2024-09-11,S016,P0047,2,1235.52,108.18,INR,2024-01-22 06:12:15.360865593,2362.86
T000014,2024-09-13,S033,P0070,8,1064.49,85.96,INR,2024-11-03 19:51:38.616468906,8429.960000000001
T000015,2024-05-11,S045,P0008,6,1588.23,168.94,INR,2024-11-12 11:20:13.314188242,9360.44
T000016,2024-04-17,S001,P0086,9,607.27,130.2,INR,2024-11-29 00:22:08.180421352,5335.2300000000005
T000017,2024-10-22,S011,P0065,7,129.16,,INR,2024-09-27 18:14:58.417773962,
T000018,2024-10-22,S006,P0013,8,873.48,199.56,INR,2024-09-16 08:06:08.558992386,6788.28
T000019,2024-11-12,S020,P0055,1,1064.77,149.93,INR,2024-06-23 09:45:36.803030014,914.8399999999999
T000020,2024-11-29,S035,P0088,9,664.8,83.07,INR,2024-11-08 22:48:21.361476183,5900.13
T000021,2024-07-05,S044,P0085,4,828.39,87.12,INR,2024-07-05 04:46:43.666192770,3226.44
T000022,2024-07-02,S037,P0043,8,352.81,135.84,INR,2024-01-11 19:39:22.005119085,2686.64
T000023,2024-10-18,S041,P0004,5,626.85,248.28,INR,2024-08-01 11:48:53.453135252,2885.97
T000024,2024-08-25,S026,P0071,3,556.18,126.92,INR,2024-05-22 12:24:30.594300032,1541.62
T000025,2024-09-13,S012,P0060,0,671.88,251.87,INR,2024-07-09 06:34:12.111640930,-251.87
T000026,2024-10-17,S030,P0012,8,668.2,127.46,INR,2024-06-09 20:35:07.449156523,5218.14
T000027,2024-11-20,S028,P0059,2,1162.04,248.97,INR,2024-06-30 07:57:07.849494696,2075.11
T000028,2024-05-03,S027,P0077,-2,576.13,279.46,INR,2024-02-09 15:05:49.512932539,-1431.72
T000029,2024-05-17,S042,P0054,5,1887.83,6.17,INR,2024-01-06 07:18:39.052075863,9432.98
T000030,2024-02-04,S019,P0044,9,1071.42,18.68,INR,2024-05-04 04:02:29.930444956,9624.1
T000031,2024-07-30,S005,P0016,9,345.04,40.21,INR,2024-04-02 21:45:37.958498001,3065.15
T000032,2024-01-14,S005,P0006,9,631.25,36.64,INR,2024-04-01 06:30:20.095172167,5644.61
T000033,2024-06-18,S041,P0014,8,1486.54,136.34,INR,2024-12-08 00:57:14.987876892,11755.98
T000034,2024-07-17,S027,P0058,-1,125.95,229.21,INR,2024-10-25 22:18:32.171793938,-355.16
T000035,2024-04-14,S028,P0031,7,1881.85,288.4,INR,2024-01-05 21:07:43.505306959,12884.55
T000036,2024-08-03,S026,P0100,4,945.84,125.33,INR,2024-01-04 04:22:49.019422293,3658.03
T000037,2024-01-12,S027,P9999,6,1090.05,206.54,INR,2024-10-10 13:38:36.032316684,6333.759999999999
T000038,2024-01-14,S049,P0041,-2,1977.98,190.65,INR,2024-12-25 11:22:43.273935556,-4146.61
T000039,2024-10-27,S042,P0035,1,1056.47,117.96,INR,2024-06-18 19:12:27.754672050,938.51
T000040,2024-05-11,S021,P0010,4,1900.71,216.34,INR,2024-06-07 02:13:00.263228654,7386.5
T000041,2024-02-16,S001,P0081,6,1838.94,177.59,INR,2024-04-10 16:13:22.225048065,10856.05
T000042,2024-07-09,S028,P0030,-1,1888.5,227.98,INR,2024-08-31 07:42:41.651407480,-2116.48
T000043,2024-10-08,S048,P0044,-1,1643.51,58.09,INR,2024-06-21 03:38:55.833907127,-1701.6
T000044,2024-03-19,S015,P0055,3,663.16,108.08,INR,2024-03-02 03:27:49.996041775,1881.4
T000045,2024-08-15,S017,P0071,0,758.13,201.37,INR,2024-06-24 16:50:31.047004223,-201.37
T000046,2024-02-01,S026,P0018,1,793.47,37.44,INR,2024-05-17 09:00:36.226670504,756.03
T000047,2024-01-19,S020,P0083,0,1960.44,231.12,INR,2024-11-20 18:41:59.276679754,-231.12
T000048,2024-07-12,S025,P0079,-2,785.44,40.03,INR,2024-10-08 15:05:55.336524487,-1610.91
T000049,2024-07-16,S013,P0086,3,306.51,,INR,2024-09-12 22:55:39.343601227,
T000050,2024-08-20,S033,P0039,8,1578.82,71.26,INR,2024-04-29 09:55:24.797314167,12559.3
T000051,2024-09-22,S025,P0042,8,795.52,18.3,INR,2024-02-20 23:01:50.685564280,6345.86
T000052,2024-12-22,S008,P0054,-1,1279.78,81.2,INR,2024-11-11 14:35:16.444503307,-1360.98
T000053,2024-07-07,S005,P0030,-1,1856.28,273.45,INR,2024-05-05 02:28:01.579384089,-2129.73
T000054,2024-04-27,S006,P0020,4,1193.46,8.08,INR,2024-08-04 10:17:59.092644453,4765.76
T000055,2024-10-17,S023,P0096,2,1311.63,5.05,INR,2024-08-03 15:37:55.109846354,2618.21
T000056,2024-04-08,S030,P0042,5,1321.44,211.28,INR,2024-12-04 17:44:41.982610941,6395.920000000001
T000057,2024-06-09,S014,P0089,-1,1263.56,,INR,2024-03-03 16:17:56.509603739,
T000058,2024-01-29,S023,P0087,7,403.56,68.92,INR,2024-10-08 15:36:51.314288855,2756.0
T000059,2024-01-10,S011,P0005,5,967.19,152.66,INR,2024-06-17 20:17:36.453363657,4683.290000000001
T000060,2024-12-17,S031,P0050,4,114.56,80.0,INR,2024-03-04 18:49:39.437423229,378.24
T000061,2024-11-01,S006,P0041,7,1289.9,117.61,INR,2024-11-01 00:11:39.119718552,8911.69
T000062,2024-09-11,S011,P0094,5,1193.18,214.6,INR,2024-10-26 08:25:06.844870329,5751.3
T000063,2024-05-29,S013,P0039,8,704.46,35.07,INR,2024-01-15 15:59:52.476912975,5600.610000000001
T000064,2024-03-04,S012,P0057,0,1095.4,287.9,INR,2024-09-15 22:41:40.393730164,-287.9
T000065,2024-02-27,S002,P0091,5,1036.81,,INR,2024-02-26 00:50:03.130245924,
T000066,2024-04-01,S035,P0057,3,576.74,241.96,INR,2024-08-10 18:45:23.990973473,1488.26
T000067,2024-07-19,S036,P0037,-1,657.25,217.38,INR,2024-08-22 23:42:39.784173489,-874.63
T000068,2024-09-17,S017,P0007,3,1548.83,84.63,INR,2024-08-30 19:32:32.142482758,4561.86
T000069,2024-08-28,S028,P0005,2,1535.89,35.5,INR,2024-02-13 20:02:54.654111385,3036.28
T000070,2024-04-12,S028,P0079,0,992.59,,INR,2024-08-06 09:14:50.503151178,
T000071,2024-12-14,S022,P0051,-2,1463.27,203.88,INR,2024-02-06 10:48:06.236659765,-3130.42
T000072,2024-09-26,S038,P0008,4,956.52,87.26,INR,2024-09-29 03:03:16.846321583,3738.8199999999997
T000073,2024-07-21,S007,P0056,-1,1717.61,,INR,2024-01-24 06:24:10.733533621,
T000074,2024-08-11,S015,P0073,-2,732.33,281.55,INR,2024-10-03 14:25:28.781910419,-1746.21
T000075,2024-06-02,S032,P0011,-2,1861.86,121.28,INR,2024-11-18 11:23:36.455252171,-3845.0
T000076,2024-03-31,S011,P0022,4,1130.34,52.88,INR,2024-04-18 23:13:29.236205339,4468.48
T000077,2024-05-09,S024,P0098,9,1117.81,273.55,INR,2024-10-11 01:50:16.032670736,9786.74
