store_id,store_name,city,region,country,active_flag,last_updated_ts
S001,Store_1,City_0,North,India,True,2024-05-16 16:58:17.187970400
S002,Store_2,City_1,South,India,True,2024-12-13 00:15:26.366943121
S003,Store_3,City_2,East,India,True,2024-09-24 04:16:00.948964357
S004,Store_4,City_3,West,India,True,2024-08-06 12:14:53.957637787
S005,Store_5,City_4,,India,True,2024-02-26 22:43:23.844992638
S006,Store_6,City_5,North,India,True,2024-02-26 22:30:43.193322420
S007,Store_7,City_6,South,India,True,2024-01-22 04:48:44.793336391
S008,Store_8,City_7,East,India,True,2024-11-12 03:42:10.933158398
S009,Store_9,City_8,West,India,True,2024-08-07 09:46:03.010333776
S010,Store_10,City_9,,India,True,2024-09-15 10:42:56.813376188
S011,Store_11,City_0,North,India,True,2024-01-08 12:19:12.612112522
S012,Store_12,City_1,South,India,True,2024-12-20 00:24:37.097780704
S013,Store_13,City_2,East,India,True,2024-10-30 20:11:51.120282173
S014,Store_14,City_3,West,India,True,2024-03-18 12:05:26.194350004
S015,Store_15,City_4,,India,True,2024-03-07 08:47:12.165843010
S016,Store_16,City_5,North,India,True,2024-03-07 22:37:24.622737885
S017,Store_17,City_6,South,India,True,2024-04-21 01:09:43.373971939
S018,Store_18,City_7,East,India,True,2024-07-10 12:51:58.827954292
S019,Store_19,City_8,West,India,True,2024-06-06 15:50:18.107897758
S020,Store_20,City_9,,India,True,2024-04-16 07:10:02.165285349
S021,Store_21,City_0,North,India,True,2024-08-11 07:49:52.887964964
S022,Store_22,City_1,South,India,True,2024-02-20 21:57:58.389522791
S023,Store_23,City_2,East,India,True,2024-04-16 15:11:13.636206627
S024,Store_24,City_3,West,India,True,2024-05-13 17:19:47.090109825
S025,Store_25,City_4,,India,True,2024-06-15 11:10:23.022268534
S026,Store_26,City_5,North,India,True,2024-10-13 14:08:29.118489981
S027,Store_27,City_6,South,India,True,2024-03-13 21:08:32.394145966
S028,Store_28,City_7,East,India,True,2024-07-06 16:41:37.249811649
S029,Store_29,City_8,West,India,True,2024-08-04 05:33:05.843633413
S030,Store_30,City_9,,India,True,2024-01-17 22:54:20.215537786
S031,Store_31,City_0,North,India,True,2024-08-09 18:05:34.449563742
S032,Store_32,City_1,South,India,True,2024-03-03 05:47:28.764602423
S033,Store_33,City_2,East,India,True,2024-01-24 17:51:07.036383867
S034,Store_34,City_3,West,India,True,2024-12-12 08:14:14.302821159
S035,Store_35,City_4,,India,True,2024-12-18 10:56:11.795039415
S036,Store_36,City_5,North,India,True,2024-10-22 01:33:38.770200729
S037,Store_37,City_6,South,India,True,2024-04-21 04:24:59.824651480
S038,Store_38,City_7,East,India,True,2024-02-05 15:36:27.787305355
S039,Store_39,City_8,West,India,True,2024-09-06 17:52:52.724087477
S040,Store_40,City_9,,India,True,2024-06-09 15:44:09.042572021
S041,Store_41,City_0,North,India,True,2024-02-14 13:03:17.774065018
S042,Store_42,City_1,South,India,True,2024-06-29 17:44:59.037269115
S043,Store_43,City_2,East,India,True,2024-01-13 13:14:36.401889563
S044,Store_44,City_3,West,India,True,2024-11-27 21:38:48.199956417
S045,Store_45,City_4,,India,True,2024-04-04 10:54:45.499738216
S046,Store_46,City_5,North,India,True,2024-08-29 19:41:42.759387255
S047,Store_47,City_6,South,India,True,2024-04-23 18:35:20.495555639
S048,Store_48,City_7,East,India,True,2024-07-08 19:47:45.115863323
S049,Store_49,City_8,West,India,False,2024-07-18 13:10:55.369369745
S050,Store_50,City_9,,India,True,2024-03-08 11:19:30.109452963
S999,Invalid_Store,City_0,Unknown,India,False,2024-12-19 21:33:40.821183205
